reporting_date,cohort_id,origination_date,fico_tier,interest_rate_type,npl_ratio,fdtr_index,unemployment_rate,inflation_rate,wage_growth
2022-01-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0256,0.25,4.0,7.5,5.6
2022-02-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0222,0.25,3.9,7.9,5.3
2022-03-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0223,0.5,3.7,8.5,5.9
2022-04-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0199,0.5,3.7,8.3,5.8
2022-05-01,C_202001_P_V,2020-01-01,Prime,Variable,0.019,1.0,3.6,8.6,5.6
2022-06-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0524,1.75,3.6,9.1,5.4
2022-07-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0527,2.5,3.5,8.5,5.5
2022-08-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0491,2.5,3.6,8.3,5.4
2022-09-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0504,3.25,3.5,8.2,5.1
2022-10-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0483,3.25,3.6,7.7,5.0
2022-11-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0454,4.0,3.6,7.1,5.1
2022-12-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0466,4.5,3.5,6.5,4.9
2023-01-01,C_202001_P_V,2020-01-01,Prime,Variable,0.0481,4.5,3.5,6.4,4.5
2020-02-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0458,,,,
2020-03-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0499,,,,
2020-04-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0423,,,,
2020-05-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0501,,,,
2020-06-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0494,,,,
2020-07-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0494,,,,
2020-08-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0509,,,,
2020-09-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0475,,,,
2020-10-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0516,,,,
2020-11-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0534,,,,
2020-12-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0561,,,,
2021-01-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0526,0.25,6.4,1.4,5.3
2021-02-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0524,0.25,6.2,1.7,5.3
2021-03-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0534,0.25,6.1,2.6,4.5
2021-04-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0565,0.25,6.1,4.2,0.6
2021-05-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0555,0.25,5.8,5.0,2.3
2021-06-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0539,0.25,5.9,5.4,3.9
2021-07-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.056,0.25,5.4,5.4,4.3
2021-08-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0552,0.25,5.1,5.3,4.4
2021-09-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0568,0.25,4.7,5.4,5.0
2021-10-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0533,0.25,4.5,6.2,5.4
2021-11-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0537,0.25,4.1,6.8,5.4
2021-12-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0533,0.25,3.9,7.0,4.9
2022-01-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0507,0.25,4.0,7.5,5.6
2022-02-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0538,0.25,3.9,7.9,5.3
2022-03-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0532,0.5,3.7,8.5,5.9
2022-04-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0521,0.5,3.7,8.3,5.8
2022-05-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.051,1.0,3.6,8.6,5.6
2022-06-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0479,1.75,3.6,9.1,5.4
2022-07-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0492,2.5,3.5,8.5,5.5
2022-08-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0485,2.5,3.6,8.3,5.4
2022-09-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0468,3.25,3.5,8.2,5.1
2022-10-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0473,3.25,3.6,7.7,5.0
2022-11-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0475,4.0,3.6,7.1,5.1
2022-12-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0496,4.5,3.5,6.5,4.9
2023-01-01,C_202001_S_F,2020-01-01,Subprime,Fixed,0.0453,4.5,3.5,6.4,4.5
2020-02-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0464,,,,
2020-03-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0466,,,,
2020-04-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0438,,,,
2020-05-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0484,,,,
2020-06-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0493,,,,
2020-07-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0549,,,,
2020-08-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0504,,,,
2020-09-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.052,,,,
2020-10-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.052,,,,
2020-11-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0503,,,,
2020-12-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0555,,,,
2021-01-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0552,0.25,6.4,1.4,5.3
2021-02-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0556,0.25,6.2,1.7,5.3
2021-03-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0526,0.25,6.1,2.6,4.5
2021-04-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0575,0.25,6.1,4.2,0.6
2021-05-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.052,0.25,5.8,5.0,2.3
2021-06-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0561,0.25,5.9,5.4,3.9
2021-07-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0594,0.25,5.4,5.4,4.3
2021-08-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.053,0.25,5.1,5.3,4.4
2021-09-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0537,0.25,4.7,5.4,5.0
2021-10-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0549,0.25,4.5,6.2,5.4
2021-11-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0534,0.25,4.1,6.8,5.4
2021-12-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.051,0.25,3.9,7.0,4.9
2022-01-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0538,0.25,4.0,7.5,5.6
2022-02-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0511,0.25,3.9,7.9,5.3
2022-03-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0536,0.5,3.7,8.5,5.9
2022-04-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0502,0.5,3.7,8.3,5.8
2022-05-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0545,1.0,3.6,8.6,5.6
2022-06-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0942,1.75,3.6,9.1,5.4
2022-07-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0944,2.5,3.5,8.5,5.5
2022-08-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0959,2.5,3.6,8.3,5.4
2022-09-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.091,3.25,3.5,8.2,5.1
2022-10-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.093,3.25,3.6,7.7,5.0
2022-11-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0944,4.0,3.6,7.1,5.1
2022-12-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0877,4.5,3.5,6.5,4.9
2023-01-01,C_202001_S_V,2020-01-01,Subprime,Variable,0.0904,4.5,3.5,6.4,4.5
2020-03-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0164,,,,
2020-04-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0183,,,,
2020-05-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0151,,,,
2020-06-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0158,,,,
2020-07-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0203,,,,
2020-08-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0206,,,,
2020-09-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0212,,,,
2020-10-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0221,,,,
2020-11-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0207,,,,
2020-12-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0231,,,,
2021-01-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0238,0.25,6.4,1.4,5.3
2021-02-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0222,0.25,6.2,1.7,5.3
2021-03-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0278,0.25,6.1,2.6,4.5
2021-04-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0253,0.25,6.1,4.2,0.6
2021-05-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0223,0.25,5.8,5.0,2.3
2021-06-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0262,0.25,5.9,5.4,3.9
2021-07-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.023,0.25,5.4,5.4,4.3
2021-08-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0266,0.25,5.1,5.3,4.4
2021-09-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0273,0.25,4.7,5.4,5.0
2021-10-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0232,0.25,4.5,6.2,5.4
2021-11-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0266,0.25,4.1,6.8,5.4
2021-12-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0252,0.25,3.9,7.0,4.9
2022-01-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0257,0.25,4.0,7.5,5.6
2022-02-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0275,0.25,3.9,7.9,5.3
2022-03-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0227,0.5,3.7,8.5,5.9
2022-04-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0212,0.5,3.7,8.3,5.8
2022-05-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0203,1.0,3.6,8.6,5.6
2022-06-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0198,1.75,3.6,9.1,5.4
2022-07-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0206,2.5,3.5,8.5,5.5
2022-08-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0207,2.5,3.6,8.3,5.4
2022-09-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0198,3.25,3.5,8.2,5.1
2022-10-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0201,3.25,3.6,7.7,5.0
2022-11-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0176,4.0,3.6,7.1,5.1
2022-12-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0196,4.5,3.5,6.5,4.9
2023-01-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0153,4.5,3.5,6.4,4.5
2023-02-01,C_202002_P_F,2020-02-01,Prime,Fixed,0.0204,4.75,3.6,6.0,4.8
2020-03-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0171,,,,
2020-04-01,C_202002_P_V,2020-02-01,Prime,Variable,0.015,,,,
2020-05-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0154,,,,
2020-06-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0194,,,,
2020-07-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0188,,,,
2020-08-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0214,,,,
2020-09-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0217,,,,
2020-10-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0213,,,,
2020-11-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0204,,,,
2020-12-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0196,,,,
2021-01-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0223,0.25,6.4,1.4,5.3
2021-02-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0254,0.25,6.2,1.7,5.3
2021-03-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0245,0.25,6.1,2.6,4.5
2021-04-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0219,0.25,6.1,4.2,0.6
2021-05-01,C_202002_P_V,2020-02-01,Prime,Variable,0.025,0.25,5.8,5.0,2.3
2021-06-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0256,0.25,5.9,5.4,3.9
2021-07-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0232,0.25,5.4,5.4,4.3
2021-08-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0253,0.25,5.1,5.3,4.4
2021-09-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0251,0.25,4.7,5.4,5.0
2021-10-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0226,0.25,4.5,6.2,5.4
2021-11-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0254,0.25,4.1,6.8,5.4
2021-12-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0255,0.25,3.9,7.0,4.9
2022-01-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0262,0.25,4.0,7.5,5.6
2022-02-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0258,0.25,3.9,7.9,5.3
2022-03-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0204,0.5,3.7,8.5,5.9
2022-04-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0208,0.5,3.7,8.3,5.8
2022-05-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0231,1.0,3.6,8.6,5.6
2022-06-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0525,1.75,3.6,9.1,5.4
2022-07-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0518,2.5,3.5,8.5,5.5
2022-08-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0577,2.5,3.6,8.3,5.4
2022-09-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0504,3.25,3.5,8.2,5.1
2022-10-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0507,3.25,3.6,7.7,5.0
2022-11-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0495,4.0,3.6,7.1,5.1
2022-12-01,C_202002_P_V,2020-02-01,Prime,Variable,0.048,4.5,3.5,6.5,4.9
2023-01-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0452,4.5,3.5,6.4,4.5
2023-02-01,C_202002_P_V,2020-02-01,Prime,Variable,0.0465,4.75,3.6,6.0,4.8
2020-03-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0443,,,,
2020-04-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0463,,,,
2020-05-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0466,,,,
2020-06-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0486,,,,
2020-07-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0539,,,,
2020-08-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0463,,,,
2020-09-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0521,,,,
2020-10-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0482,,,,
2020-11-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0511,,,,
2020-12-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0548,,,,
2021-01-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0533,0.25,6.4,1.4,5.3
2021-02-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0515,0.25,6.2,1.7,5.3
2021-03-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0526,0.25,6.1,2.6,4.5
2021-04-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0558,0.25,6.1,4.2,0.6
2021-05-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0532,0.25,5.8,5.0,2.3
2021-06-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0553,0.25,5.9,5.4,3.9
2021-07-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0551,0.25,5.4,5.4,4.3
2021-08-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0537,0.25,5.1,5.3,4.4
2021-09-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0592,0.25,4.7,5.4,5.0
2021-10-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0561,0.25,4.5,6.2,5.4
2021-11-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0506,0.25,4.1,6.8,5.4
2021-12-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0548,0.25,3.9,7.0,4.9
2022-01-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0527,0.25,4.0,7.5,5.6
2022-02-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0554,0.25,3.9,7.9,5.3
2022-03-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0516,0.5,3.7,8.5,5.9
2022-04-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0524,0.5,3.7,8.3,5.8
2022-05-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0531,1.0,3.6,8.6,5.6
2022-06-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0532,1.75,3.6,9.1,5.4
2022-07-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0483,2.5,3.5,8.5,5.5
2022-08-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0493,2.5,3.6,8.3,5.4
2022-09-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0483,3.25,3.5,8.2,5.1
2022-10-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0471,3.25,3.6,7.7,5.0
2022-11-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0511,4.0,3.6,7.1,5.1
2022-12-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0475,4.5,3.5,6.5,4.9
2023-01-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0433,4.5,3.5,6.4,4.5
2023-02-01,C_202002_S_F,2020-02-01,Subprime,Fixed,0.0468,4.75,3.6,6.0,4.8
2020-03-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0501,,,,
2020-04-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0488,,,,
2020-05-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0445,,,,
2020-06-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0475,,,,
2020-07-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0518,,,,
2020-08-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0486,,,,
2020-09-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0516,,,,
2020-10-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.053,,,,
2020-11-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0502,,,,
2020-12-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0525,,,,
2021-01-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0467,0.25,6.4,1.4,5.3
2021-02-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0516,0.25,6.2,1.7,5.3
2021-03-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0536,0.25,6.1,2.6,4.5
2021-04-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0519,0.25,6.1,4.2,0.6
2021-05-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0579,0.25,5.8,5.0,2.3
2021-06-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.052,0.25,5.9,5.4,3.9
2021-07-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0541,0.25,5.4,5.4,4.3
2021-08-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0553,0.25,5.1,5.3,4.4
2021-09-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0578,0.25,4.7,5.4,5.0
2021-10-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.052,0.25,4.5,6.2,5.4
2021-11-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.057,0.25,4.1,6.8,5.4
2021-12-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0544,0.25,3.9,7.0,4.9
2022-01-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0521,0.25,4.0,7.5,5.6
2022-02-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0546,0.25,3.9,7.9,5.3
2022-03-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0536,0.5,3.7,8.5,5.9
2022-04-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0515,0.5,3.7,8.3,5.8
2022-05-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0522,1.0,3.6,8.6,5.6
2022-06-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.0957,1.75,3.6,9.1,5.4
2022-07-01,C_202002_S_V,2020-02-01,Subprime,Variable,0.096,2.5,3.5,8.5,5.5
